scope,algorithm,vus,metric,value,unit
stress,RS256,10,refresh_p95,580.2639859999998,ms
stress,RS256,10,throughput_ok,13.23,requests/s
stress,RS256,30,login_avg,1186.5528389551123,ms
stress,RS256,30,login_p95,2374.02878,ms
stress,RS256,30,refresh_avg,1048.7144682668336,ms
stress,RS256,30,refresh_p95,2330.730182,ms
stress,RS256,30,throughput_ok,13.37,requests/s
stress,RS256,50,login_avg,2062.821445750641,ms
stress,RS256,50,login_p95,4594.652669999999,ms
stress,RS256,50,refresh_avg,1925.1329507969153,ms
stress,RS256,50,refresh_p95,4427.379268799998,ms
stress,RS256,50,throughput_ok,12.97,requests/s
isolated,ES256,,access_token_generation_avg,0.07699426999999999,ms
isolated,ES256,,access_token_generation_p95,0.19590299999999994,ms
isolated,ES256,,refresh_token_generation_avg,0.09340909,ms
isolated,ES256,,refresh_token_generation_p95,0.13767344999999998,ms
isolated,ES256,,cpu_time_per_token_avg,0.15,ms
pure_signing,ES256,,pure_signing_gc_free_avg,0.06061987999999999,ms
pure_signing,ES256,,pure_signing_gc_free_p95,0.08712604999999997,ms
pure_signing,ES256,,memory_alloc_avg,3.007594680786133,MB
pure_signing,ES256,,memory_rss_avg,37.15,MB
stress,ES256,10,login_avg,406.73489304092084,ms
stress,ES256,10,login_p95,725.648931,ms
stress,ES256,10,refresh_avg,301.2040183478261,ms
stress,ES256,10,refresh_p95,623.1225825,ms
stress,ES256,10,throughput_ok,13.03,requests/s
stress,ES256,30,login_avg,1115.1405109999992,ms
stress,ES256,30,login_p95,2252.799405499998,ms
stress,ES256,30,refresh_avg,1038.7055980071593,ms
stress,ES256,30,refresh_p95,2170.9664871999994,ms
stress,ES256,30,throughput_ok,13.97,requests/s
stress,ES256,50,login_avg,1896.1109325151513,ms
stress,ES256,50,login_p95,3738.3767595999975,ms
stress,ES256,50,refresh_avg,1707.2852538275058,ms
stress,ES256,50,refresh_p95,3511.0519535999997,ms
stress,ES256,50,throughput_ok,14.3,requests/s
isolated,EdDSA,,access_token_generation_avg,0.03623730000000001,ms
isolated,EdDSA,,access_token_generation_p95,0.05216195,ms
isolated,EdDSA,,refresh_token_generation_avg,0.038495969999999984,ms
isolated,EdDSA,,refresh_token_generation_p95,0.06181599999999999,ms
isolated,EdDSA,,cpu_time_per_token_avg,0.1,ms
pure_signing,EdDSA,,pure_signing_gc_free_avg,0.026777580000000002,ms
pure_signing,EdDSA,,pure_signing_gc_free_p95,0.034232549999999994,ms
pure_signing,EdDSA,,memory_alloc_avg,2.7016029357910156,MB
pure_signing,EdDSA,,memory_rss_avg,36.47828125,MB
stress,EdDSA,10,login_avg,373.65189967149746,ms
stress,EdDSA,10,login_p95,676.7392527499998,ms
stress,EdDSA,10,refresh_avg,289.46964834541063,ms
stress,EdDSA,10,refresh_p95,589.8780959999992,ms
stress,EdDSA,10,throughput_ok,13.8,requests/s
stress,EdDSA,30,login_avg,1244.6386980417835,ms
stress,EdDSA,30,login_p95,2610.400313999997,ms
stress,EdDSA,30,refresh_avg,1056.1065791476317,ms
stress,EdDSA,30,refresh_p95,2254.7714956999994,ms
stress,EdDSA,30,throughput_ok,11.97,requests/s
stress,EdDSA,50,login_avg,1857.2949934768508,ms
stress,EdDSA,50,login_p95,3708.0428046499997,ms
stress,EdDSA,50,refresh_avg,1732.116896502313,ms
stress,EdDSA,50,refresh_p95,3429.66096095,ms
stress,EdDSA,50,throughput_ok,14.4,requests/s
security,FN-DSA-Precomputed-512,,attack_1_block_rate,100,%
security,FN-DSA-Precomputed-512,,attack_2_block_rate,100,%
security,FN-DSA-Precomputed-512,,attack_3_block_rate,100,%
security,FN-DSA-Precomputed-512,,attack_4_block_rate,100,%
security,FN-DSA-Precomputed-512,,attack_5_block_rate,100,%
security,FN-DSA-Precomputed-512,,attack_6_block_rate,100,%
security,FN-DSA-Precomputed-512,,attack_7_block_rate,100,%
security,FN-DSA-Precomputed-512,,attack_8_block_rate,100,%
security,FN-DSA-Precomputed-512,,attack_9_block_rate,100,%
