run_file,scenario,algorithm,vus,metric,value
result.txt,secondary,FN-DSA-512,50,login_p95,4022.767
result.txt,secondary,FN-DSA-512,50,refresh_avg,1802.564
result.txt,secondary,FN-DSA-512,50,refresh_p95,3746.523
result.txt,secondary,FN-DSA-512,50,e2e_avg,129.63
result.txt,secondary,FN-DSA-512,50,e2e_p95,1215.911
result.txt,secondary,FN-DSA-512,50,rps,13.37
result.txt,isolated,HS256,,pure_avg,0.002
result.txt,isolated,HS256,,pure_p95,0.003
result.txt,isolated,HS256,,access_avg,0.014
result.txt,isolated,HS256,,access_p95,0.024
result.txt,isolated,HS256,,refresh_avg,0.014
result.txt,isolated,HS256,,refresh_p95,0.025
result.txt,isolated,HS256,,e2e_avg,0.029
result.txt,isolated,HS256,,cpu_per_tok,0.05
result.txt,isolated,HS256,,rss_kb,32176.8
result.txt,stress,HS256,10,access_avg,0.085
result.txt,stress,HS256,10,access_p95,0.149
result.txt,stress,HS256,10,refresh_avg,0.023
result.txt,stress,HS256,10,refresh_p95,0.013
result.txt,stress,HS256,10,token_ok_s,13.67
result.txt,stress,HS256,30,access_avg,0.072
result.txt,stress,HS256,30,access_p95,0.1
result.txt,stress,HS256,30,refresh_avg,0.018
result.txt,stress,HS256,30,refresh_p95,0.016
result.txt,stress,HS256,30,token_ok_s,13.93
result.txt,stress,HS256,50,access_avg,0.089
result.txt,stress,HS256,50,access_p95,0.115
result.txt,stress,HS256,50,refresh_avg,0.018
result.txt,stress,HS256,50,refresh_p95,0.014
result.txt,stress,HS256,50,token_ok_s,14.8
result.txt,secondary,HS256,10,login_avg,372.24
result.txt,secondary,HS256,10,login_p95,702.633
result.txt,secondary,HS256,10,refresh_avg,281.166
result.txt,secondary,HS256,10,refresh_p95,603.766
result.txt,secondary,HS256,10,e2e_avg,35.722
result.txt,secondary,HS256,10,e2e_p95,190.783
result.txt,secondary,HS256,10,rps,13.67
result.txt,secondary,HS256,30,login_avg,1136.71
result.txt,secondary,HS256,30,login_p95,2244.345
result.txt,secondary,HS256,30,refresh_avg,1016.606
result.txt,secondary,HS256,30,refresh_p95,2082.519
result.txt,secondary,HS256,30,e2e_avg,18.392
result.txt,secondary,HS256,30,e2e_p95,36.149
result.txt,secondary,HS256,30,rps,13.93
result.txt,secondary,HS256,50,login_avg,1788.699
result.txt,secondary,HS256,50,login_p95,3723.627
result.txt,secondary,HS256,50,refresh_avg,1684.871
result.txt,secondary,HS256,50,refresh_p95,3411.265
result.txt,secondary,HS256,50,e2e_avg,19.291
result.txt,secondary,HS256,50,e2e_p95,59.247
result.txt,secondary,HS256,50,rps,14.8
result.txt,isolated,RS256,,pure_avg,1.208
result.txt,isolated,RS256,,pure_p95,1.39
result.txt,isolated,RS256,,access_avg,1.148
result.txt,isolated,RS256,,access_p95,1.49
result.txt,isolated,RS256,,refresh_avg,1.158
result.txt,isolated,RS256,,refresh_p95,1.494
result.txt,isolated,RS256,,e2e_avg,2.31
result.txt,isolated,RS256,,cpu_per_tok,1.3
result.txt,isolated,RS256,,rss_kb,32613.12
result.txt,stress,RS256,10,access_avg,2.299
result.txt,stress,RS256,10,access_p95,4.951
result.txt,stress,RS256,10,refresh_avg,2.648
result.txt,stress,RS256,10,refresh_p95,5.443
result.txt,stress,RS256,10,token_ok_s,11.13
result.txt,stress,RS256,30,access_avg,2.773
result.txt,stress,RS256,30,access_p95,7.064
result.txt,stress,RS256,30,refresh_avg,2.432
result.txt,stress,RS256,30,refresh_p95,4.569
result.txt,stress,RS256,30,token_ok_s,12.6
result.txt,stress,RS256,50,access_avg,1.926
result.txt,stress,RS256,50,access_p95,4.16
result.txt,stress,RS256,50,refresh_avg,2.253
result.txt,stress,RS256,50,refresh_p95,4.301
result.txt,stress,RS256,50,token_ok_s,13.47
result.txt,secondary,RS256,10,login_avg,460.595
result.txt,secondary,RS256,10,login_p95,949.175
result.txt,secondary,RS256,10,refresh_avg,384.93
result.txt,secondary,RS256,10,refresh_p95,711.888
result.txt,secondary,RS256,10,e2e_avg,56.463
result.txt,secondary,RS256,10,e2e_p95,189.66
result.txt,secondary,RS256,10,rps,11.13
result.txt,secondary,RS256,30,login_avg,1250.604
result.txt,secondary,RS256,30,login_p95,2362.842
result.txt,secondary,RS256,30,refresh_avg,1113.156
result.txt,secondary,RS256,30,refresh_p95,2407.914
result.txt,secondary,RS256,30,e2e_avg,24.239
result.txt,secondary,RS256,30,e2e_p95,82.403
result.txt,secondary,RS256,30,rps,12.6
result.txt,secondary,RS256,50,login_avg,1991.683
result.txt,secondary,RS256,50,login_p95,3743.607
result.txt,secondary,RS256,50,refresh_avg,1779.192
result.txt,secondary,RS256,50,refresh_p95,3806.411
result.txt,secondary,RS256,50,e2e_avg,35.845
result.txt,secondary,RS256,50,e2e_p95,118.441
result.txt,secondary,RS256,50,rps,13.47
result.txt,isolated,ES256,,pure_avg,0.044
result.txt,isolated,ES256,,pure_p95,0.066
result.txt,isolated,ES256,,access_avg,0.055
result.txt,isolated,ES256,,access_p95,0.076
result.txt,isolated,ES256,,refresh_avg,0.052
result.txt,isolated,ES256,,refresh_p95,0.069
result.txt,isolated,ES256,,e2e_avg,0.108
result.txt,isolated,ES256,,cpu_per_tok,0.1
result.txt,isolated,ES256,,rss_kb,32212.88
result.txt,stress,ES256,10,access_avg,0.203
result.txt,stress,ES256,10,access_p95,0.398
result.txt,stress,ES256,10,refresh_avg,0.066
result.txt,stress,ES256,10,refresh_p95,0.102
result.txt,stress,ES256,10,token_ok_s,13.0
result.txt,stress,ES256,30,access_avg,0.198
result.txt,stress,ES256,30,access_p95,0.355
result.txt,stress,ES256,30,refresh_avg,0.07
result.txt,stress,ES256,30,refresh_p95,0.096
result.txt,stress,ES256,30,token_ok_s,13.67
result.txt,stress,ES256,50,access_avg,0.306
result.txt,stress,ES256,50,access_p95,1.538
result.txt,stress,ES256,50,refresh_avg,0.064
result.txt,stress,ES256,50,refresh_p95,0.091
result.txt,stress,ES256,50,token_ok_s,14.2
result.txt,secondary,ES256,10,login_avg,401.072
result.txt,secondary,ES256,10,login_p95,721.341
result.txt,secondary,ES256,10,refresh_avg,303.105
result.txt,secondary,ES256,10,refresh_p95,642.296
result.txt,secondary,ES256,10,e2e_avg,19.039
result.txt,secondary,ES256,10,e2e_p95,38.616
result.txt,secondary,ES256,10,rps,13.0
result.txt,secondary,ES256,30,login_avg,1093.176
result.txt,secondary,ES256,30,login_p95,2240.829
result.txt,secondary,ES256,30,refresh_avg,987.243
result.txt,secondary,ES256,30,refresh_p95,2055.562
result.txt,secondary,ES256,30,e2e_avg,29.811
result.txt,secondary,ES256,30,e2e_p95,77.792
result.txt,secondary,ES256,30,rps,13.67
result.txt,secondary,ES256,50,login_avg,1842.522
result.txt,secondary,ES256,50,login_p95,3532.869
result.txt,secondary,ES256,50,refresh_avg,1741.303
result.txt,secondary,ES256,50,refresh_p95,3632.445
result.txt,secondary,ES256,50,e2e_avg,28.653
result.txt,secondary,ES256,50,e2e_p95,97.2
result.txt,secondary,ES256,50,rps,14.2
result.txt,isolated,EdDSA,,pure_avg,0.034
result.txt,isolated,EdDSA,,pure_p95,0.05
result.txt,isolated,EdDSA,,access_avg,0.045
result.txt,isolated,EdDSA,,access_p95,0.072
result.txt,isolated,EdDSA,,refresh_avg,0.045
result.txt,isolated,EdDSA,,refresh_p95,0.066
result.txt,isolated,EdDSA,,e2e_avg,0.09
result.txt,isolated,EdDSA,,cpu_per_tok,0.1
result.txt,isolated,EdDSA,,rss_kb,32163.44
result.txt,stress,EdDSA,10,access_avg,0.145
result.txt,stress,EdDSA,10,access_p95,0.226
result.txt,stress,EdDSA,10,refresh_avg,0.052
result.txt,stress,EdDSA,10,refresh_p95,0.06
result.txt,stress,EdDSA,10,token_ok_s,13.8
result.txt,stress,EdDSA,30,access_avg,0.115
result.txt,stress,EdDSA,30,access_p95,0.236
result.txt,stress,EdDSA,30,refresh_avg,0.043
result.txt,stress,EdDSA,30,refresh_p95,0.057
result.txt,stress,EdDSA,30,token_ok_s,13.7
result.txt,stress,EdDSA,50,access_avg,0.152
result.txt,stress,EdDSA,50,access_p95,0.407
result.txt,stress,EdDSA,50,refresh_avg,0.043
result.txt,stress,EdDSA,50,refresh_p95,0.061
result.txt,stress,EdDSA,50,token_ok_s,14.17
result.txt,secondary,EdDSA,10,login_avg,367.499
result.txt,secondary,EdDSA,10,login_p95,663.422
result.txt,secondary,EdDSA,10,refresh_avg,290.727
result.txt,secondary,EdDSA,10,refresh_p95,595.069
result.txt,secondary,EdDSA,10,e2e_avg,19.582
result.txt,secondary,EdDSA,10,e2e_p95,54.037
result.txt,secondary,EdDSA,10,rps,13.8
result.txt,secondary,EdDSA,30,login_avg,1111.804
result.txt,secondary,EdDSA,30,login_p95,2167.837
result.txt,secondary,EdDSA,30,refresh_avg,1062.431
result.txt,secondary,EdDSA,30,refresh_p95,2185.529
result.txt,secondary,EdDSA,30,e2e_avg,21.958
result.txt,secondary,EdDSA,30,e2e_p95,58.715
result.txt,secondary,EdDSA,30,rps,13.7
result.txt,secondary,EdDSA,50,login_avg,1882.219
result.txt,secondary,EdDSA,50,login_p95,4044.425
result.txt,secondary,EdDSA,50,refresh_avg,1727.317
result.txt,secondary,EdDSA,50,refresh_p95,3500.55
result.txt,secondary,EdDSA,50,e2e_avg,21.182
result.txt,secondary,EdDSA,50,e2e_p95,50.879
result.txt,secondary,EdDSA,50,rps,14.17
result2.txt,isolated,FN-DSA-Precomputed-512,,pure_avg,0.379
result2.txt,isolated,FN-DSA-Precomputed-512,,pure_p95,0.585
result2.txt,isolated,FN-DSA-Precomputed-512,,access_avg,0.393
result2.txt,isolated,FN-DSA-Precomputed-512,,access_p95,0.581
result2.txt,isolated,FN-DSA-Precomputed-512,,refresh_avg,0.389
result2.txt,isolated,FN-DSA-Precomputed-512,,refresh_p95,0.521
result2.txt,isolated,FN-DSA-Precomputed-512,,e2e_avg,0.802
result2.txt,isolated,FN-DSA-Precomputed-512,,cpu_per_tok,0.5
result2.txt,isolated,FN-DSA-Precomputed-512,,rss_kb,42407.0
result2.txt,stress,FN-DSA-Precomputed-512,10,access_avg,0.642
result2.txt,stress,FN-DSA-Precomputed-512,10,access_p95,1.438
result2.txt,stress,FN-DSA-Precomputed-512,10,refresh_avg,0.852
result2.txt,stress,FN-DSA-Precomputed-512,10,refresh_p95,2.514
