variant,iters,ms_per_op,kb_per_op,allocs_per_op,vs_a0_percent,vs_a0_direction,step_percent,step_direction,note
A0_Original,100,0.63500912,47.265625,15.0,0.0,same,0.0,baseline,"Original: decode key, recompute G/hash, FFT basis, Gram, LDL tree during sign."
A1_KeyMaterialDetached,100,0.5715818,43.265625,9.0,9.988410875106794,faster,9.988410875106794,faster,"A0 + detach private-key decode, G recomputation, verifying-key hash."
A2_FFTBasisDetached,100,0.5462784700000001,43.265625,9.0,13.97313002370736,faster,4.426895677923957,faster,A1 + detach FFT basis b00/b01/b10/b11.
A3_GramDetached,100,0.57680858,43.265625,9.0,9.165307736052668,faster,5.588744875850579,slower,A2 + detach Gram matrix.
A4_LDLTreeDetached,100,0.61922865,35.265625,9.0,2.485077694632155,faster,7.354271671895038,slower,A3 + detach LDL tree; runtime uses precomputed sampler tree.
A5_AllPrecomputedCombined,100,0.52147005,35.265625,9.0,17.879911708984583,faster,15.78715713492908,faster,A1-A4 combined through production PrecomputedSigner.
